08:28:46.909 INFO  SIP2_GIS_SERVICE. [List Show] 
08:55:26.021 INFO  SIP2_GIS_SERVICE. [List Show] 
09:05:08.666 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504251] [77.2654314], [Live Location] 
09:05:08.744 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515044] [77.2654701], [Live Location] 
09:05:08.761 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515044] [77.2654701], [Live Location] 
09:05:19.722 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515044] [77.2654701], [Live Location] 
09:05:19.735 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515044] [77.2654701], [Live Location] 
09:05:29.722 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515049] [77.2654688], [Live Location] 
09:05:29.741 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515049] [77.2654688], [Live Location] 
09:05:34.786 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5534626] [77.2721016], [Live Location] 
09:05:34.803 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5534626] [77.2721016], [Live Location] 
09:05:39.703 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515049] [77.2654688], [Live Location] 
09:05:39.723 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515049] [77.2654688], [Live Location] 
09:05:39.786 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5502696] [77.2654289], [Live Location] 
09:05:39.802 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5502696] [77.2654289], [Live Location] 
09:05:49.763 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515049] [77.2654688], [Live Location] 
09:05:49.780 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515049] [77.2654688], [Live Location] 
09:05:59.752 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515115] [77.2654476], [Live Location] 
09:05:59.771 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515115] [77.2654476], [Live Location] 
09:06:05.102 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5487033] [77.275835], [Live Location] 
09:06:05.114 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5487033] [77.275835], [Live Location] 
09:06:08.461 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504262] [77.265409], [Live Location] 
09:06:08.479 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504262] [77.265409], [Live Location] 
09:06:09.781 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515115] [77.2654476], [Live Location] 
09:06:09.794 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515115] [77.2654476], [Live Location] 
09:06:19.784 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515115] [77.2654476], [Live Location] 
09:06:19.801 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515115] [77.2654476], [Live Location] 
09:06:29.807 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654526], [Live Location] 
09:06:29.826 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654526], [Live Location] 
09:06:35.082 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5491767] [77.27602], [Live Location] 
09:06:35.100 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5491767] [77.27602], [Live Location] 
